English	Hebrew	Count	
Iggeret haShabbat, KTAV Publishing House, 2009		1	
Footnotes on Orot		1	
Asher Meza (without commentary)		1	
Darkhei Yesharim, Warsaw 1913.		1	
Avi Ezer		1	
Tosafot Yom Tov Introduction to the Mishnah, trans. Moshe Hollender 		1	
Ets Avot, Lechem Shamayim; Krakow, 1883.		1	
Sefer Ha-Tashbetz, Amsterdam, 1738-174		1	
Mekhilta d'Rabbi Yishmael -- Daat		1	
Ibn Ezra on Nahum -- Daat		1	
Yadidya Greenberg's Shulchan Aruch Translation		1	
Ibn Ezra on Ruth -- Daat		1	
Kedushat Levi - Munkatch 1939		1	
Sefunei Tmunei Chol, B'nei Brak, 1999		1	
Maharam of Rothenburg Responsa (Prague), Budapest, 1895		1	
moed katan 23a		1	
Derashot HaRan, by Rabbi Shraga Silverstein		1	
Tosefta Ohalot - Machon Mamre		1	
Targum Jonathan on Numbers		1	
Deutsche Torah Übersetzung - William Grayson - 2017 (zur freien Verwendung)		1	
Ibn Ezra on Amos -- Daat		1	
Chizkuni		1	
Malbim on Proverbs- Wikisource		1	
Chidushei HaRashba. Warsaw 1883.		1	
Minchat Chinuch, Vilna, 1923.		1	
Or Neerav, Furth 1701.		1	
Times of London, 1840		1	
Tosefta Shabbat 16:17		1	
Messillat Yesharim		1	
Warsaw 1882		1	
Tur on the Torah, trans. Eliyahu Munk		1	
Torat Emet Freeware		1	
archive.org		1	
 Midrash Rabbah - Bereshit (Lviv, 1874)		1	
Likutei Halachot		1	
Binyan Tziyon, Altona, 1868		1	
Tosefta Yevamot -- Machon Mamre		1	
Tosefta Kilayim		1	
pending		1	
eu5 text		1	
Pri Haaretz, Kopyst 1814		1	
The Holy Scriptures, published by JPS -- Chapter 137		1	
Ibn Ezra on Obadiah -- Daat		1	
Mahberet Menahem, London, 1854.		1	
Moses Cordovero's Introduction to Kabbalah, Annotated trans. of Or ne'erav, Ira Robinson, 1994.		1	
Zohar Ruth - Midrash HaNe'elam		1	
Netzach Yisrael		1	
Malbim, Vilna Romm, 1892.		1	
מדרש רבה  מדרש ארץ ישראלי לפי פרשיות השבוע		1	
Derech Chaim, Maharal		1	
Malbim on Nahum- Wikisource		1	
Melamed LeHoil Part II, Frankfurt, 1927		1	
Halakhah.com		1	
sefer HaChinukh -- Torat Emet		1	
El Pentateuco Con El Comentario de Rabí Shelomó Itzjakí (Rashí)		1	
Yoreh Deah, Vilna, 1923		1	
Tosefta Gittin - Machon Mamre		1	
Onkelos Numbers		1	
Kol HaTor: Chapter 3		1	
Tosefta Orlah		1	
הקדמה לספר הזוהר		1	
Sefaria Community Translation - Portuguese [pt]		1	
Malbim Beur Hamilot on Joel- Wikisource		1	
Midrash Tanchuma -- Torat Emet		1	
Warsaw, 1874		1	
Sefer Hayashar, trans. Seymour J. Cohen. 1973.		1	
Daat Vayikra Rabbah		1	
Tosefta Rosh Hashanah  -- Machon Mamre		1	
Ibn Ezra on Ezra -- Daat		1	
Onkelos Genesis		1	
Tosefta Chullin - Machon Mamre		1	
Tosefta Shevuot - Machon Mamre		1	
Ibn Ezra on Lamentations -- Wikitext		1	
Malbim on Habakkuk- Wikisource		1	
The Tanya		1	
Likutei Moharan -- MS3		1	
Likutei Moharan -- MS2		1	
Wikitext -- Issur V'Heter L'Rabbeinu Yerucham		1	
R' Zadok -- Et HaOchel		1	
Likutei Moharan -- MS6		1	
JTS		1	
Likutei Moharan -- MS4		1	
The Vatican Manuscript of the Targum Neofiti		1	
Ibn Ezra on Numbers -- Torat Emet		1	
Moed Katan 14b		1	
ספר דעת תבונות		1	
R' Zadok -- Sichat Shedim		1	
Ibn Ezra on Habakkuk -- Daata		1	
Torah Temimah, Vilna, 1904		1	
Mechon-mamre Mishneh Torah		1	
Rasage on Sefer Yetzirah, Warsaw 1884		1	
Ptil Tekhelet, B'nei Brak, 1999		1	
Tur Yoreh Deah, Vilna 1923		1	
Targum Jerusalem on Torah		1	
Wikisource Bereshit Rabbah		1	
Gifts for the Poor, Trans. by Joseph B. Meszler, Williamsburg, Virginia, 2003		1	
Ramban on Sefer Yetzirah, Warsaw 1884		1	
Chiddushei HaRashba, Sheva Shitot, Warsaw, 1883.		1	
Shalom Alechem		1	
R' Zadok -- Likutei Maamarim		1	
Niddah 13a		1	
Samson H. Levey, Hebrew Union College, 1934		1	
Tosefta Eruvin		1	
Teshuvot Rashi vol. I, New York, 1943		1	
Midrash Tanhuma-Yelammedenu, trans. Samuel A. Berman		1	
Kovetz Ha'Aros		1	
Ibn Ezra on Hosea -- Daat		1	
Seder Tisha B'Av - Kollel Ohr Haemet		1	
Orchot Tzaddikim, trans. Seymour J. Cohen, Ktav Pub House, 1982		1	
R. Yosef Ibn Migash Responsa, Warsaw, 1870		1	
