ref,type
Yevamot 120b:12-121a:2,Sugya
Yevamot 121a:3-6,Sugya
Yevamot 121a:7-8,Mishnah
Yevamot 121a:9-17,Sugya
Yevamot 121a:18-20,Sugya
Yevamot 121a:21-121b:2,Sugya
Yevamot 121b:3-8,Sugya
Yevamot 121b:9-10,Mishnah
Yevamot 121b:11-12,Sugya
Yevamot 121b:13-15,Sugya
Yevamot 121b:16-122a:4,Sugya
Yevamot 122a:5-6,Mishnah
Yevamot 122a:7-10,Sugya
Yevamot 122a:11-13,Mishnah
Yevamot 122a:14-15,Sugya
Yevamot 122a:16-17,Mishnah
Yevamot 122b:1-2,Sugya
Yevamot 122b:3-11,Sugya
