ref,type
Bava Batra 171a:8-171b:3,Sugya
Bava Batra 171b:4-10,Sugya
Bava Batra 171b:11-172a:3,Sugya
Bava Batra 172a:4-9,Sugya
Bava Batra 172a:10-13,Mishnah
Bava Batra 172a:14-173a:9,Sugya
Bava Batra 173a:10-13,Sugya
Bava Batra 173a:14-18,Sugya
Bava Batra 173a:19,Mishnah
Bava Batra 173a:20-22,Sugya
Bava Batra 173a:23-173b:2,Mishnah
Bava Batra 173b:3-8,Sugya
Bava Batra 173b:9-12,Sugya
Bava Batra 173b:13-15,Sugya
Bava Batra 173b:16-174a:2,Sugya
Bava Batra 174a:3-10,Sugya
Bava Batra 174a:11-12,Sugya
Bava Batra 174a:13-174b:8,Sugya
Bava Batra 174b:9-18,Sugya
Bava Batra 174b:19-175a:4,Sugya
Bava Batra 175a:5-7,Sugya
Bava Batra 175a:8-9,Sugya
Bava Batra 175a:10-175b:5,Mishnah
Bava Batra 175b:6-176a:1,Sugya
Bava Batra 176a:2-5,Sugya
Bava Batra 176a:6-13,Sugya
Bava Batra 176a:14-176b:2,Sugya
