citing_ref,non_segment_ref,num_segments,num_dicta_candidates,candidate_ref,citation_is_section_level,dicta_score,phrase_distance,candidate_text_words,confirm_method,confirmed
Piskei Tosafot on Eruvin 167:1,Eruvin 83b,13,1,Eruvin 83b:2,True,4.0,9,21,llm,yes
Tosafot on Bava Kamma 116a:2:1,Chullin 135a:1-138b:2,151,8,Chullin 137a:22,False,2.1,206,6,llm,yes
Tosafot on Bava Kamma 116a:2:1,Avodah Zarah 66b,7,5,Avodah Zarah 66b:3,True,4.0,2,30,llm,yes
"Peninei Halakhah, Likkutim II 1:9:2",Shevuot 30a,14,4,Shevuot 30a:12,True,4.0,8,33,llm,yes
Etz Yosef on Bamidbar Rabbah 14:1:12,Bava Kamma 82a,16,4,Bava Kamma 82a:5,True,10.0,1,33,high_score,yes
"Shenei Luchot HaBerit, Shaar HaOtiyot, Anava 22",Tanna DeBei Eliyahu Rabbah,81,3,Tanna DeBei Eliyahu Rabbah 23:1,False,4.0,102,871,llm,no
"Brit Moshe, Negative Commandments 65:15:1",Shabbat 73b,10,8,Shabbat 73b:5,True,8.0,321,41,llm,yes
Notes by Rabbi Yehoshua Hartman on Gevurot Hashem 9:253,Gevurot Hashem 66,28,1,Gevurot Hashem 66:22,True,7.0,15,82,llm,yes
"Notes by Rabbi Yehoshua Hartman on Be'er HaGolah, Well 7 1:18",Sanhedrin 73a,14,2,Sanhedrin 73a:1,True,5.0,89,30,llm,yes
Rashbam on Pesachim 118a:13:1,Niddah 61a,21,2,Niddah 61a:16,True,5.0,9,15,llm,yes
"Binyan Olam, Yoreh De'ah 11:29",Chullin 3b,21,1,Chullin 3b:20,True,8.0,2,29,high_score,yes
Sefer HaChinukh 187:3,Chullin 83b,12,6,Chullin 83b:11,True,6.0,160,20,llm,yes
"Haflaah on Ketubot, Introduction 16",Exodus 18:1-20:23,75,1,Exodus 19:21,False,1.9,155,12,llm,no
Sefer HaChinukh 187:3,Chullin 83b:3-89b:2,181,9,Chullin 88a:4,False,15.0,450,33,llm,no
Rashash on Mishnah Makhshirin 6:6:2,Mishnah Parah 11,9,1,Mishnah Parah 11:7,True,2.2,65,56,llm,yes
"Yad Eitan on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 4:4:1",Deuteronomy 16:18-21:9,97,7,Deuteronomy 18:7,False,1.6,582,10,llm,no
"Mishpetei Uziel, Volume II, Yoreh De'ah 6:17",Rashi on Chullin 93a,26,1,Rashi on Chullin 93a:7:3,False,10.0,51,19,high_score,yes
"Mishpetei Uziel, Volume II, Yoreh De'ah 6:17",Rosh on Chullin,330,1,Rosh on Chullin 7:8:1,False,11.0,33,160,high_score,yes
Mishnat Eretz Yisrael on Mishnah Gittin 6:1:6,Gittin 63b,24,12,Gittin 63b:23,True,14.0,5,30,high_score,yes
"Pitchei Teshuva on Shulchan Arukh, Even HaEzer 156:21",Rashba on Gittin,795,1,Rashba on Gittin 63b:9,False,1.6,246,310,llm,no
"Lechem Mishneh on Mishneh Torah, Daily Offerings and Additional Offerings 3:22:1",Mishnah Shekalim 7,7,3,Mishnah Shekalim 7:6,True,10.0,5,63,high_score,yes
Tosafot Yom Tov on Mishnah Sanhedrin 7:7:7,Leviticus 19:1-20:27,64,9,Leviticus 20:6,False,4.0,81,15,llm,yes
"Responsa Rav Pealim, Volume II, Even HaEzer 7:6",Bava Metzia 17,34,8,Bava Metzia 17a:8,True,5.0,38,42,llm,yes
"Bach, Yoreh De'ah 372:5:1",Berakhot 19,40,4,Berakhot 19b:8,True,5.0,198,20,llm,no
"Lechem Mishneh on Mishneh Torah, Daily Offerings and Additional Offerings 3:22:1",Eruvin 41b:6-52b:15,426,4,Eruvin 46b:9,False,4.0,387,37,llm,yes
"Zakhor VeShamor, Gate III, Chapter XIII 63",Leviticus,859,6,Leviticus 23:11,False,1.6,104,9,llm,yes
"Lechem Mishneh on Mishneh Torah, Daily Offerings and Additional Offerings 3:22:1",Menachot 38a:4-52b:11,539,20,Menachot 51b:2,False,14.0,419,23,llm,yes
"Lechem Mishneh on Mishneh Torah, Daily Offerings and Additional Offerings 3:22:1",Mishnah Shekalim 7,7,3,Mishnah Shekalim 7:6,True,10.0,549,63,llm,yes
"Lechem Mishneh on Mishneh Torah, Daily Offerings and Additional Offerings 3:22:1",Menachot 38a:4-52b:11,539,9,Menachot 51b:19,False,5.0,541,17,llm,yes
"Torah Temimah on Torah, Exodus 21:2:5",Jerusalem Talmud Kiddushin 1:2,33,1,Jerusalem Talmud Kiddushin 1:2:7,True,10.0,17,163,high_score,yes
"Toldot Yaakov Yosef, Bereshit 33",Berakhot 31a,28,1,Berakhot 31a:18,True,4.0,2,40,llm,yes
"Toldot Yaakov Yosef, Bereshit 33",Bava Batra 74a,8,1,Bava Batra 74a:6,True,5.0,16,38,llm,yes
Shoel uMeshiv Mahadura III 1:441:1,Ketubot 16a,14,3,Ketubot 16a:14,True,6.0,18,29,llm,yes
Shita Mekubbetzet on Nazir 25a:2,Temurah 21b:15-24a:30,101,3,Temurah 23b:15,False,17.0,60,40,high_score,yes
"Mishpetei Uziel, Volume III, Addenda 2:29",Berakhot 20b,22,3,Berakhot 20b:5,True,4.0,2,20,llm,yes
"Toldot Yaakov Yosef, Bereshit 33",Shabbat,3778,1,Shabbat 104a:6,False,4.0,2,45,llm,yes
"Toldot Yaakov Yosef, Bereshit 33",Shabbat 104a,13,1,Shabbat 104a:6,True,4.0,7,45,llm,yes
"Toldot Yaakov Yosef, Bereshit 33",Sanhedrin 17a,22,2,Sanhedrin 17a:14,True,4.0,24,29,llm,yes
Shita Mekubbetzet on Nazir 25a:2,Temurah 21b:15-24a:30,101,2,Temurah 23b:15,False,18.0,61,40,llm,yes
Shita Mekubbetzet on Nazir 25a:2,Zevachim 98b:6-106a:8,280,2,Zevachim 103a:12,False,15.0,239,40,llm,yes
"Seder HaDorot, Tanaim and Amoraim 1912:6",Jerusalem Talmud Peah 7,58,1,Jerusalem Talmud Peah 7:1:3,False,4.0,17,68,llm,yes
Rashi on Sotah 48a:9:1,Chullin 7b,16,1,Chullin 7b:15,True,5.0,2,45,llm,yes
"Sod Yesharim, The First Night of Pesach 37:3",Bamidbar Rabbah 4,20,7,Bamidbar Rabbah 4:20,True,46.0,8,3749,high_score,yes
"Torah Temimah on Torah, Exodus 21:2:5",Kiddushin 17a,18,3,Kiddushin 17a:4,True,5.0,35,43,llm,yes
Yesh Seder LaMishnah on Mishnah Shabbat 6:5:3,Tosafot on Shabbat 64b,5,5,Tosafot on Shabbat 64b:6:1,False,9.0,34,121,high_score,yes
Gur Aryeh on Shemot 15:17:5,Ketubot 5a,14,2,Ketubot 5a:11,True,9.0,127,36,llm,yes
Shita Mekubbetzet on Nazir 25a:2,Zevachim 98b:6-106a:8,280,3,Zevachim 103a:12,False,15.0,81,40,llm,yes
"Chibbah Yeteirah on Torah, Genesis 18:25:1",Psalms 81,17,1,Psalms 81:5,True,6.0,87,7,llm,yes
"Sod Yesharim, The First Night of Pesach 37:3",Genesis 39,23,1,Genesis 39:9,True,4.0,2,19,llm,yes
"Ohr HaTzafun, Bereshit, XIII 1",Psalms 16,11,1,Psalms 16:8,True,2.0,8,7,llm,yes
"Sod Yesharim, The First Night of Pesach 37:3",Shabbat 77b,13,1,Shabbat 77b:8,True,13.0,85,77,llm,yes
Chiddushei Rabbi Akiva Eiger on Yevamot 26b:1,Yevamot 27b,10,1,Yevamot 27b:5,True,4.0,9,23,llm,yes
Chomat Anakh on Job 20:21:1,Sanhedrin 92,40,7,Sanhedrin 92a:16,True,28.0,1,33,high_score,yes
Notes by Rabbi Yehoshua Hartman on Gevurot Hashem 70:116,Menachot 29b,17,1,Menachot 29b:7,True,5.0,187,47,llm,yes
Gur Aryeh on Shemot 15:17:5,Genesis 1:1-6:8,146,6,Genesis 1:1,False,6.0,243,7,llm,no
"Sod Yesharim, The First Night of Pesach 37:3",Bava Kamma 52a,14,1,Bava Kamma 52a:5,True,4.0,32,27,llm,yes
"Ba'alei Brit Avram, Vaera 4",Shemot Rabbah 9,13,5,Shemot Rabbah 9:8,True,21.0,23,122,high_score,yes
Yesh Seder LaMishnah on Mishnah Shabbat 6:5:3,Beitzah 11b,16,2,Beitzah 11b:11,True,7.0,499,42,llm,yes
"Sources and References on Torah Ohr, Vayetzei 21:26",Berakhot 22a,25,1,Berakhot 22a:4,True,4.0,42,26,llm,yes
"Ba'alei Brit Avram, Sh'lach 1",Sotah 34,25,2,Sotah 34b:8,True,7.0,254,27,llm,yes
"Arukh HaShulchan, Choshen Mishpat 339:7",Bava Kamma 99a,17,19,Bava Kamma 99a:15,True,2.2,321,18,llm,yes
Yesh Seder LaMishnah on Mishnah Shabbat 6:5:3,Mishnah Eruvin,96,6,Mishnah Eruvin 10:13,False,6.0,102,33,llm,yes
"Notes by Rabbi Yehoshua Hartman on Derekh Chayim, Kol Yisrael; The Opening Mishna 220",Rashi on Genesis 43:14,8,1,Rashi on Genesis 43:14:2,True,17.0,3,39,high_score,yes
"Beit Yosef, Orach Chayim 663:6:1",Ezekiel,1273,1,Ezekiel 38:18,False,2.6,39,14,llm,yes
Yesh Seder LaMishnah on Mishnah Shabbat 6:5:3,Beitzah 11b,16,10,Beitzah 11b:11,True,4.0,435,42,llm,yes
"Likkutei Etzot, Discipline 21",Deuteronomy 1:1-3:22,105,1,Deuteronomy 1:1,False,2.3,524,18,llm,yes
"Beit Yosef, Yoreh De'ah 356:1:1",Sanhedrin 48a,22,14,Sanhedrin 48a:16,True,23.0,58,32,high_score,yes
Binyan Yehoshua on Avot D'Rabbi Natan 7:2:2,Berakhot 4,47,1,Berakhot 4a:6,True,5.0,41,29,llm,yes
"Beit Yosef, Yoreh De'ah 129:40:1",Bava Batra 24a,14,9,Bava Batra 24a:9,True,6.0,2,33,llm,yes
"Turei Zahav on Shulchan Arukh, Yoreh De'ah 14:6",Chullin 69,40,3,Chullin 69a:9,True,5.0,565,23,llm,yes
"Torah Temimah on Torah, Deuteronomy 32:43:1",Ketubot 111a,27,2,Ketubot 111a:9,True,19.0,115,22,llm,no
"Turei Zahav on Shulchan Arukh, Yoreh De'ah 14:6",Chullin 68a:1-78a:4,356,5,Chullin 69a:9,False,5.0,548,23,llm,no
"Turei Zahav on Shulchan Arukh, Yoreh De'ah 14:6",Chullin 78a:5-83b:2,170,15,Chullin 79a:3,False,2.3,21,22,llm,no
Tosafot on Sotah 39a:6:1,Menachot 109a,24,1,Menachot 109a:14,True,19.0,59,40,high_score,yes
Chiddushei Ridbaz on Jerusalem Talmud Megillah 1:11:6:1,Zevachim 117,20,4,Zevachim 117b:10,True,4.0,18,22,llm,yes
Chiddushei Ridbaz on Jerusalem Talmud Megillah 1:11:6:1,Zevachim 117,20,3,Zevachim 117b:10,True,4.0,352,22,llm,yes
Sha'agat Aryeh HaChadashot 2:4,Sanhedrin 53,37,3,Sanhedrin 53b:4,True,8.0,236,30,llm,yes
"Midrash Tanchuma, Korach 12:1",Genesis 12:1-17:27,126,2,Genesis 17:17,False,1.8,42,13,llm,yes
Tosafot Yeshanim on Yoma 13a:9,Gittin 83b,24,3,Gittin 83b:18,True,6.0,74,25,llm,yes
"Rabbeinu Bahya, Shemot 1:2:4",Exodus 30:11-34:35,139,1,Exodus 30:12,False,1.4,12,17,llm,no
"Maggid Mishneh on Mishneh Torah, Forbidden Foods 1:12:3",Chullin 78a:5-83b:2,170,1,Chullin 78a:6,False,4.0,22,13,llm,no
Tosafot on Sotah 39a:6:1,Berakhot 32b,31,4,Berakhot 32b:4,True,8.0,42,17,high_score,yes
Tosafot on Menachot 18b:2:1,Yevamot 104b,18,5,Yevamot 104b:8,True,7.0,436,18,llm,yes
"Arvei Nachal, Vayera 1:8",Jeremiah,1364,12,Jeremiah 32:12,False,1.2,45,19,llm,no
Tosafot on Menachot 18b:2:1,Makkot 18b,15,5,Makkot 18b:8,True,7.0,31,21,llm,yes
Tosafot on Menachot 18b:2:1,Leviticus 2,16,2,Leviticus 2:4,True,1.6,2,16,llm,yes
Tosafot on Menachot 18b:2:1,Bava Batra 81b,8,5,Bava Batra 81b:7,True,7.0,491,17,llm,yes
"Notes by Rabbi Yehoshua Hartman on Netivot Olam, Netiv Hatorah 15:39",Pesachim 76a,16,3,Pesachim 76a:11,True,4.0,9,29,llm,yes
Tosafot on Menachot 18b:2:1,Sanhedrin 45b,25,1,Sanhedrin 45b:7,True,6.0,14,16,llm,yes
Etz Yosef on Bamidbar Rabbah 13:2:55,Deuteronomy 32:1-52,52,1,Deuteronomy 32:14,False,2.2,71,12,llm,yes
Sheyarei Korban on Jerusalem Talmud Gittin 6:2:2:1,Jerusalem Talmud Kiddushin 2,54,1,Jerusalem Talmud Kiddushin 2:1:3,False,4.0,177,98,llm,yes
Etz Yosef on Bamidbar Rabbah 13:2:55,Numbers 16:1-18:32,95,1,Numbers 18:12,False,1.8,47,11,llm,yes
Mishnat Eretz Yisrael on Mishnah Nedarim 11:12:19,Shir HaShirim Rabbah 1:4,11,1,Shir HaShirim Rabbah 1:4:8,True,22.0,216,340,llm,yes
Tosafot on Menachot 18b:2:1,Kiddushin 25a,20,6,Kiddushin 25a:20,True,7.0,549,20,llm,yes
Tosafot on Menachot 18b:2:1,Nedarim 66b:10-79a:10,179,2,Nedarim 73a:2,False,5.0,2,29,llm,yes
Jerusalem Talmud Kiddushin 4:1:8,Deuteronomy 21,23,1,Deuteronomy 21:23,True,5.0,342,20,llm,yes
Jerusalem Talmud Kiddushin 4:1:8,Psalms 57,12,1,Psalms 57:3,True,6.0,63,6,llm,yes
Tosafot on Menachot 18b:2:1,Nedarim 73a,7,2,Nedarim 73a:2,True,5.0,12,29,llm,yes
Jerusalem Talmud Kiddushin 4:1:8,II Samuel 21,22,10,II Samuel 21:9,True,9.0,21,30,high_score,yes
Jerusalem Talmud Kiddushin 4:1:8,Deuteronomy 21,23,1,Deuteronomy 21:23,True,5.0,292,20,llm,yes
"Even Ha'azel on Mishneh Torah, Trespass 5:7:1",Rashi on Avodah Zarah 42,61,1,Rashi on Avodah Zarah 42b:6:1,False,15.0,32,17,high_score,yes
"Be'er HaGolah on Shulchan Arukh, Yoreh De'ah 267:29",Bava Metzia 73b,12,1,Bava Metzia 73b:8,True,7.0,14,49,llm,yes
Jerusalem Talmud Kiddushin 4:1:8,II Samuel 6,23,3,II Samuel 6:23,True,9.0,86,9,llm,yes
Jerusalem Talmud Kiddushin 4:1:8,II Samuel 21,22,11,II Samuel 21:9,True,9.0,93,30,llm,yes
Jerusalem Talmud Kiddushin 4:1:8,II Samuel 21,22,12,II Samuel 21:10,True,6.0,50,22,llm,yes
"Abudarham, Shabbat Prayers, Torah Reading 4",Bereshit Rabbah,1037,1,Bereshit Rabbah 6:9,False,5.0,85,250,llm,no
Jerusalem Talmud Kiddushin 4:1:8,II Chronicles 2,17,4,II Chronicles 2:16,True,5.0,59,21,llm,yes
"Even Ha'azel on Mishneh Torah, Trespass 5:7:1",Meilah 14,23,7,Meilah 14a:9,True,8.0,6,26,high_score,yes
"Even Ha'azel on Mishneh Torah, Trespass 5:7:1",Rashi on Avodah Zarah,3308,1,Rashi on Avodah Zarah 42b:6:1,False,6.0,8,17,llm,yes
Tosefta Kifshutah on Sheviit 7:15:6,Pesachim 53a,14,3,Pesachim 53a:3,True,8.0,99,16,llm,yes
"Even Ha'azel on Mishneh Torah, Trespass 5:7:1",Rashi on Meilah,688,10,Rashi on Meilah 14a:4:3,False,11.0,21,35,high_score,yes
Toafot Re'em 210:1,Bava Kamma 79b,19,1,Bava Kamma 79b:14,True,4.0,583,30,llm,yes
Toafot Re'em 210:1,Bava Kamma 46a,15,5,Bava Kamma 46a:5,True,10.0,340,31,llm,no
Sefer HaChinukh 152:1,Eruvin 64a,12,1,Eruvin 64a:7,True,4.0,32,30,llm,yes
"Even Ha'azel on Mishneh Torah, Trespass 5:7:1",Rashi on Avodah Zarah,3308,2,Rashi on Avodah Zarah 42b:6:1,False,6.0,324,17,llm,yes
"Ahavat Yehonatan, Parashat Bereshit 19",Proverbs,915,1,Proverbs 6:26,False,1.5,21,11,llm,yes
"Even Ha'azel on Mishneh Torah, Trespass 5:7:1",Avodah Zarah,2131,7,Avodah Zarah 42b:6,False,4.0,359,33,llm,yes
"Karati Bekhol Lev, Yitro 2:9",Gur Aryeh on Shemot 19,24,1,Gur Aryeh on Shemot 19:12:2,False,21.0,2,27,high_score,yes
Notes by Rabbi Yehoshua Hartman on Derekh Chayim 2:8:60,Chullin 7b,16,1,Chullin 7b:10,True,5.0,44,56,llm,yes
"Even Ha'azel on Mishneh Torah, Trespass 5:7:1",Meilah,515,5,Meilah 14a:3,False,4.0,63,18,llm,yes
Perush Maharzu on Shemot Rabbah 45:2:11,Perush Maharzu on Shemot Rabbah 45:2,19,3,Perush Maharzu on Shemot Rabbah 45:2:11,True,125.0,47,125,high_score,yes
"Even Ha'azel on Mishneh Torah, Trespass 5:7:1",Bava Kamma 21,31,7,Bava Kamma 21a:1,True,2.3,21,3,llm,yes
"Ohel Ya'akov on Torah, Vayishlach 3:11",Shemot Rabbah,464,7,Shemot Rabbah 22:3,False,34.0,3,297,high_score,yes
Rashi on Menachot 92a:1:1,Mishnah Shekalim,52,7,Mishnah Shekalim 5:3,False,8.0,68,60,llm,yes
Meiri on Psalms 18:15:1,Genesis 49,33,1,Genesis 49:23,True,1.5,2,5,llm,yes
Rosh on Ketubot 3:8:3,Bava Kamma 46a,15,5,Bava Kamma 46a:9,True,7.0,101,28,llm,yes
Tosefta Kifshutah on Taanit 1:12:1,Taanit 16b,15,4,Taanit 16b:13,True,6.0,11,76,llm,yes
Toafot Re'em 274:26,Sefer Yereim,1065,1,Sefer Yereim 26:14,False,5.0,191,597,llm,no
Chidushei Chatam Sofer on Ketubot 13a:2,Teshuvot Maharik,286,5,Teshuvot Maharik 159:1,False,10.0,166,7047,llm,no
Toafot Re'em 274:26,Sefer Yereim,1065,1,Sefer Yereim 26:14,False,5.0,293,597,llm,no
Rosh on Ketubot 3:8:3,Ketubot 44b,12,4,Ketubot 44b:9,True,16.0,198,18,llm,yes
"Noda BiYehudah II, Even HaEzer 70:4",Nazir 12,19,4,Nazir 12b:2,True,6.0,49,19,llm,yes
Rosh on Ketubot 3:8:3,Bava Batra 105a,8,5,Bava Batra 105a:5,True,5.0,122,16,llm,yes
Toafot Re'em 274:26,Sefer Yereim,1065,1,Sefer Yereim 26:14,False,5.0,395,597,llm,no
Toafot Re'em 274:26,Sefer Yereim,1065,1,Sefer Yereim 26:14,False,5.0,450,597,llm,no
Haamek Davar on Genesis 49:10:1,Sanhedrin 17b,11,1,Sanhedrin 17b:2,True,2.5,1,33,llm,yes
"Noda BiYehudah II, Even HaEzer 70:4",Nazir 12,19,6,Nazir 12a:7,True,7.0,18,34,llm,yes
Rosh on Ketubot 3:8:3,Yevamot 67a,16,6,Yevamot 67a:11,True,6.0,2,37,llm,yes
Notes by Rabbi Yehoshua Hartman on Gevurot Hashem 66:104,Rashbam on Bava Batra 89a,35,1,Rashbam on Bava Batra 89a:14:1,False,8.0,50,10,high_score,yes
Metzudat Zion on Job 21:7:1,Daniel 7,28,1,Daniel 7:9,True,1.8,2,22,auto_approved,yes
Notes by Rabbi Yehoshua Hartman on Gevurot Hashem 55:66,Gevurot Hashem 58,19,2,Gevurot Hashem 58:6,True,6.0,33,137,llm,no
"Commentary on Sefer Hamitzvot of Rasag, Positive Commandments 22:9",Ketubot 17a,12,7,Ketubot 17a:1,True,15.0,7,63,high_score,yes
"Netivot Olam, Netiv Hatorah 15:7",Sanhedrin 92a,24,11,Sanhedrin 92a:15,True,30.0,11,35,high_score,yes
"Irin Kadishin, Miscellany from the Author 6:12",Ecclesiastes 2,26,1,Ecclesiastes 2:14,True,2.4,13,12,llm,yes
"Irin Kadishin, Miscellany from the Author 6:12",Ecclesiastes 10,20,1,Ecclesiastes 10:2,True,4.0,25,6,llm,yes
Notes by Rabbi Yehoshua Hartman on Gevurot Hashem 66:104,Bava Batra 89a,16,1,Bava Batra 89a:14,True,6.0,3,39,llm,yes
"Peri Tzadik, Tazria 11:1",Pirkei Avot 2,16,4,Pirkei Avot 2:1,True,20.0,9,58,high_score,yes
"Sources and References on Likkutei Torah, Tzav 10:49",Chagigah 15b,16,1,Chagigah 15b:3,True,2.1,11,48,llm,yes
Metzudat Zion on Ezekiel 21:24:1,II Samuel 18,32,1,II Samuel 18:18,True,1.3,2,25,auto_approved,yes
Notes by Rabbi Yehoshua Hartman on Gevurot Hashem 66:104,Vayikra Rabbah,330,1,Vayikra Rabbah 4:1,False,5.0,269,487,llm,yes
"Beit Yaakov on Torah, Lech Lecha 17:3",Shabbat 89b,9,1,Shabbat 89b:5,True,12.0,2,100,high_score,yes
Toafot Re'em 274:26,Sefer Yereim,1065,2,Sefer Yereim 274:28,False,1.5,462,2189,llm,no
"Hafla'ah ShebaArakhin on Sefer HeArukh, Letter Chet 59",Moed Katan 16,52,4,Moed Katan 16a:23,True,10.0,3,19,high_score,yes
Shoel uMeshiv Mahadura IV 2:191:7,Nazir 24b,11,3,Nazir 24b:5,True,6.0,16,33,llm,yes
"Peri Tzadik, Tazria 11:1",Sanhedrin 106b,22,1,Sanhedrin 106b:14,True,2.8,545,21,llm,yes
"Beit Yaakov on Torah, Lech Lecha 17:3",Sanhedrin 91b,18,1,Sanhedrin 91b:8,True,5.0,366,29,llm,yes
"Peri Tzadik, Tazria 11:1",Kiddushin 30b,22,5,Kiddushin 30b:4,True,7.0,16,29,llm,yes
Haamek Sheilah on Sheiltot d'Rav Achai Gaon 140:2:1,Mishnah Bekhorot,73,1,Mishnah Bekhorot 4:6,False,4.0,216,34,llm,yes
Notes by Rabbi Yehoshua Hartman on Gevurot Hashem 66:104,Yalkut Shimoni on Torah,4818,25,Yalkut Shimoni on Torah 946:17,False,9.0,361,183,llm,yes
"Mishpetei Uziel, Volume VII, Even HaEzer 19:64",Gittin 33a,12,2,Gittin 33a:9,True,4.0,85,27,llm,yes
Notes by Rabbi Yehoshua Hartman on Gevurot Hashem 66:104,Yalkut Shimoni on Torah,4818,25,Yalkut Shimoni on Torah 946:17,False,9.0,323,183,llm,yes
Haamek Sheilah on Sheiltot d'Rav Achai Gaon 140:2:1,Tosafot on Bekhorot,503,4,Tosafot on Bekhorot 29b:3:1,False,35.0,97,612,llm,yes
"Kiryat Sefer on Mishneh Torah, Gifts to the Poor 6:5:1",Tosefta Yadayim 2,9,2,Tosefta Yadayim 2:7,True,5.0,71,127,llm,yes
"Sefer HeArukh, Letter Mem 508",Mishnah Sheviit 3,10,1,Mishnah Sheviit 3:5,True,13.0,3,23,high_score,yes
Tosafot on Ketubot 104b:19:1,Isaiah 22,25,5,Isaiah 22:15,True,12.0,31,11,high_score,yes
Tosafot on Ketubot 104b:19:1,Sanhedrin 103b,18,1,Sanhedrin 103b:5,True,4.0,34,49,llm,yes
"Maaseh Rokeach on Tefillin, Mezuzah and the Torah Scroll 7:4:1",Tractate Soferim,227,2,Tractate Soferim 13:2,False,5.0,205,17,llm,yes
Ikar Tosafot Yom Tov on Mishnah Nazir 9:3:3,Ezekiel 16,63,2,Ezekiel 16:6,True,2.4,2,13,llm,yes
"Maaseh Rokeach on Tefillin, Mezuzah and the Torah Scroll 7:4:1",Tractate Soferim,227,2,Tractate Soferim 13:2,False,5.0,78,17,llm,yes
"Levushei Serad on Shulchan Arukh, Orach Chayim 298:28",Berakhot 53,67,2,Berakhot 53b:3,True,4.0,1,28,llm,yes
"Beit Yosef, Even HaEzer 145:4:1",Gittin 67b:9-77a:9,366,1,Gittin 74b:2,False,2.1,19,18,llm,yes
Tosafot on Ketubot 104b:19:1,Sanhedrin 26a,27,4,Sanhedrin 26a:22,True,7.0,15,28,llm,yes
Torah Temimah on Esther 5:1:2,Megillah 14b,13,1,Megillah 14b:9,True,19.0,280,27,llm,yes
Rosh on Chullin 1:19:1,Shabbat 151a,11,2,Shabbat 151a:8,True,4.0,1,52,llm,yes
Rosh on Chullin 1:19:1,Chullin 112a,10,1,Chullin 112a:7,True,4.0,217,25,llm,yes
"Beur HaGra on Shulchan Arukh, Even HaEzer 170:4",Kiddushin,2406,3,Kiddushin 76a:1,False,4.0,58,30,llm,no
Rosh on Chullin 1:19:1,Eruvin 39b,12,6,Eruvin 39b:7,True,8.0,2,17,high_score,yes
Rosh on Chullin 1:19:1,Chullin 111a,13,1,Chullin 111a:4,True,8.0,306,21,llm,yes
Rosh on Chullin 1:19:1,Shabbat 18b,8,3,Shabbat 18b:2,True,16.0,25,65,high_score,yes
Chokhmat Shlomo on Pesachim 30b:3,Tosafot on Zevachim,1026,6,Tosafot on Zevachim 96a:1:1,False,39.0,6,404,high_score,yes
Rosh on Chullin 1:19:1,Gittin 53b,16,4,Gittin 53b:7,True,4.0,22,34,llm,yes
"Toldot Yaakov Yosef, Emor 9",Shabbat,3778,2,Shabbat 10a:6,False,19.0,12,43,high_score,yes
Halakhot Gedolot 61:4,Nazir 31b,12,1,Nazir 31b:9,True,7.0,11,22,llm,no
Halakhot Gedolot 61:4,Chullin 51b,16,4,Chullin 51b:8,True,8.0,10,27,high_score,yes
Rosh on Chullin 1:19:1,Shabbat 126b:11-129b:18,131,2,Shabbat 128a:19,False,4.0,15,37,llm,yes
Tosafot on Sotah 7a:7:1,Makkot 9b,19,1,Makkot 9b:16,True,7.0,73,23,llm,yes
Halakhot Gedolot 61:4,Chullin 51b,16,6,Chullin 51b:7,True,22.0,28,31,high_score,yes
Rashba on Bava Batra 68a:1,Jerusalem Talmud Bava Metzia 5:5,9,3,Jerusalem Talmud Bava Metzia 5:5:9,True,10.0,2,65,high_score,yes
"Megalleh Amukkot on Torah, Yitro 1",Psalms 76,13,1,Psalms 76:4,True,3.1,6,7,llm,yes
Rosh on Chullin 1:19:1,Shabbat 128a,21,2,Shabbat 128a:19,True,4.0,2,37,llm,yes
"Megalleh Amukkot on Torah, Yitro 1",Judges 4,24,3,Judges 4:11,True,4.0,8,18,llm,yes
"Brit Moshe, Negative Commandments 126:2:1",Shabbat 13a,11,3,Shabbat 13a:9,True,9.0,10,26,high_score,yes
"Megalleh Amukkot on Torah, Yitro 1",Genesis 10,32,2,Genesis 10:6,True,6.0,8,6,llm,yes
Halakhot Gedolot 61:4,Bava Kamma 50b,19,2,Bava Kamma 50b:18,True,25.0,70,34,llm,no
Rashba on Bava Batra 68a:1,Gittin 80b,20,1,Gittin 80b:1,True,7.0,2,18,llm,yes
Or HaChaim on Deuteronomy 15:18:1,Kiddushin 15a,23,2,Kiddushin 15a:11,True,4.0,96,25,llm,yes
"Mishpetei Uziel, Volume IV, Choshen Mishpat 30:7",Bava Batra 20,30,5,Bava Batra 20b:12,True,7.0,2,18,llm,yes
Chiddushei HaRadal on Devarim Rabbah 1:16:2,I Kings 11,43,3,I Kings 11:16,True,7.0,19,9,llm,yes
"Brit Moshe, Negative Commandments 126:2:1",Yevamot 76,33,1,Yevamot 76a:8,True,4.0,59,33,llm,yes
Tosafot HaRosh on Niddah 14a:7,Niddah 57b:1-59a:17,82,7,Niddah 57b:1,False,4.0,21,23,llm,yes
"Brit Moshe, Negative Commandments 126:2:1",Sotah 26b,17,1,Sotah 26b:14,True,6.0,12,18,llm,yes
"Brit Moshe, Negative Commandments 126:2:1",Sefer HaChinukh,2662,1,Sefer HaChinukh 251:3,False,5.0,112,89,llm,no
Sefer HaChinukh 144:2,Avodah Zarah 66a,12,1,Avodah Zarah 66a:10,True,11.0,29,36,high_score,yes
Sefer HaChinukh 144:2,Chullin 114b,16,1,Chullin 114b:9,True,11.0,35,23,high_score,yes
Rashi on Numbers 2:2:2,Joshua,658,1,Joshua 3:4,False,7.0,33,22,llm,yes
